"","Country.Name","Country.Code","CapitaGrowth","oil","population","tax_rev","Polity","Ethnic","violence","l_violence","l_pop","GDPpc","l_GDPpc"
"27","Brazil","BRA",4.46817441322331,1.82969867556777,184738458,15.75278049,8,0.5408,NA,NA,19.034451642228,3623.047667,8.19507084758468
"28","Barbados","BRB",1.09744690740889,0.235193904880084,273091,25.26213951,NA,0.1423,10.6,2.45100509811232,12.5175603519572,12868.78733,9.46256007159753
"29","Brunei Darussalam","BRN",-1.21043570787147,21.7724328368002,359523,NA,NA,NA,0.6,0.470003629245736,12.7925334318436,21896.60527,9.99408689328694
"30","Bhutan","BTN",3.10991304582362,NA,640282,7.682696858,-10,0.605,NA,NA,13.3696639832892,1097.457088,7.0007510444127
"31","Botswana","BWA",1.30272814990158,0,1829330,NA,8,0.4102,15.6,2.8094026953625,14.4194603375607,4896.583835,8.49629306442753
"32","Central African Republic","CAF",4.07703426298254,NA,4055036,NA,-1,0.8295,14.9,2.76631910922619,15.2154701234207,313.210598,5.74687580134748
"33","Canada","CAN",2.05816243973769,1.42471645736507,31995000,13.39032045,10,0.7124,2.1,1.1314021114911,17.2810901985557,31979.87195,10.3728619823149
"34","Switzerland","CHE",2.07213587243264,0,7389625,9.223924063,10,NA,1,0.693147180559945,15.8155875473879,53340.14766,10.8844445660111
"35","Channel Islands","CHI",-0.516507646809956,NA,153170,NA,NA,NA,NA,NA,11.9393036946586,55844.11669,10.9303194576773
"36","Chile","CHL",6.0401381213717,0.0410649484359065,15973778,16.40223152,9,0.1861,3.6,1.52605630349505,16.5864590607793,6210.828325,8.73404955170072
"37","China","CHN",9.45917505031505,1.58581419729884,1296075000,NA,-7,0.1538,1.6,0.955511445027436,20.9826063035724,1508.668098,7.31898248626553
"38","Cote d'Ivoire","CIV",-0.559034178782966,1.38254511215225,17997738,14.19479364,NA,0.8204,14.9,2.76631910922619,16.7057566412971,919.8068028,6.82416365103412
"39","Cameroon","CMR",3.97743245138318,5.00603445588877,16959081,NA,-4,0.8635,NA,NA,16.6463140005391,1027.823,6.93519825220228
"40","Congo, Dem. Rep.","COD",3.42923623810067,2.19352926011732,53034217,5.276738972,NA,NA,14.3,2.72785282839839,17.7864478669775,194.1667863,5.2687175129089
"41","Congo, Rep.","COG",0.522812427216351,41.2815206677069,3605439,7.849247686,NA,NA,11.3,2.50959926237837,15.0979540965992,1289.337837,7.16188406091862
"42","Colombia","COL",3.92277202653798,3.7297922301979,42724163,NA,7,0.6014,39.5,3.70130197411249,17.5702751963703,2740.249442,7.91580423246476
"43","Comoros","COM",-0.472460729691235,NA,597228,NA,6,0,9.4,2.34180580614733,13.3000542290136,616.4197236,6.42392810098725
"44","Cabo Verde","CPV",8.42581932729365,NA,467664,NA,NA,NA,NA,NA,13.0555053683332,1976.458506,7.58906188884068
"45","Costa Rica","CRI",2.81484981633986,0,4187038,13.41778746,10,0.2368,7.9,2.18605127673809,15.2475041206706,4425.507467,8.39514023267448
"46","Cuba","CUB",5.56348320166902,1.24033831038554,11266941,NA,-7,0.5908,6.1,1.96009478404727,16.2373834206011,3390.716256,8.12879646301273
"47","Curacao","CUW",NA,NA,134192,NA,NA,NA,NA,NA,11.8070268892242,NA,NA
"48","Cayman Islands","CYM",NA,NA,47299,NA,NA,NA,NA,NA,10.7642444326075,NA,NA
"49","Cyprus","CYP",3.18083049715108,0,1010410,37.07880513,10,0.0939,1.9,1.06471073699243,13.8258667470399,23932.49128,10.0829922824624
"50","Czech Republic","CZE",4.87464046817419,0.039310951177178,10197101,14.42759443,10,0.3222,1.1,0.741937344729377,16.1376140221713,11685.88724,9.366137173915
"51","Germany","DEU",1.19193652221034,0.018774586987439,82516260,10.38910077,10,0.1682,1.1,0.741937344729377,18.2285059227941,34165.93403,10.4389843456382
"52","Djibouti","DJI",2.19152485718199,NA,770752,NA,2,0.7962,8.2,2.21920348405499,13.5551219406202,864.1847206,6.76178654294348
"53","Dominica","DMA",2.83056536684666,NA,70379,20.28890692,NA,0.2003,11.3,2.50959926237837,11.1616502021927,5325.046981,8.58017681326171
"54","Denmark","DNK",2.40320825525259,1.17120856525769,5404523,31.2922103,10,0.0819,1,0.693147180559945,15.5027467535422,46511.60457,10.7474571210855
"55","Dominican Republic","DOM",-0.193175210394358,0,9102998,12.89308922,8,0.4294,25.9,3.29212628660779,16.0241143677796,2421.096062,7.79197563479607
"56","Algeria","DZA",2.94323229638962,16.2445443593829,32831096,26.80399614,2,0.3394,0.6,0.470003629245736,17.3068866730204,2598.908023,7.86284664463474
"57","Ecuador","ECU",6.44847284271066,11.8737186054061,13509647,NA,6,0.655,15.4,2.79728133483015,16.4189145808015,2708.557892,7.90417162906189
"58","Egypt, Arab Rep.","EGY",2.15683122363679,9.20526881458493,75381899,13.83597775,-6,NA,0.7,0.53062825106217,18.1380777378447,1045.943208,6.9526743486958
"59","Eritrea","ERI",-1.71274256722769,0,3858623,NA,-7,0.6524,9.1,2.31253542384721,15.1658209420444,287.4222243,5.66095229946523
